zotu,taxid,unique_hits,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,domain,kingdom,phylum,class,order,family,genus,species,taxid_rank,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Zotu2646,6125,41,98.01473170731707,97.899,96.639,99.537,98.6829268292683,100,91,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,0,0,4,1,2,27,9,0,0,1,3,2,2,0,0,5,3,5,3,0,2,2,3,0,2,3,1,0,16,19,1,4,0,4,0,1,3,6,0,0,19,0,42,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,2,0,0,0,0,20,0
Zotu2647,46736,80,97.55052500000001,97.768,96.354,98.122,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,4,12,16,3,17,1,3,2,3,1,4,0,0,3,0,5,0,2,1,1,5,0,7,8,0,0,25,1,0,19,8,2,0,1,18,0,0,3,41,0,0,6,14,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,0,0,7,0,0,0,0,0,0,3,0
Zotu2648,40674,1000,97.522239,97.521,97.521,97.934,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,1,0,0,0,0,6,0,0,0,0,6,0,0,4,0,2,1,3,2,0,0,3,3,6,1,26,6,2,0,0,1,17,0,1,0,0,0,1,11,1,9,0,7,6,2,1,2,0,2,4,0,3,0,0,2,19,9,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,0
Zotu2649,40674,1000,98.31247499999999,98.312,97.521,98.734,98.002,98,98,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,11,2,0,0,1,6,2,0,2,0,4,1,2,2,0,0,3,1,5,1,27,6,4,0,1,0,6,0,0,0,0,0,0,5,0,5,0,10,2,1,3,5,1,0,2,0,4,0,0,0,19,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
Zotu2650,46736,80,97.55052500000001,97.768,96.354,98.122,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,2,0,5,14,20,6,23,3,4,3,0,4,6,0,0,6,0,3,0,3,1,2,4,0,7,14,0,0,26,1,0,8,5,0,0,0,12,1,0,2,46,0,0,5,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,7,0,2,0,0,0,0,1,0
Zotu2651,46736,80,96.2016,96.17,94.894,98.122,98.475,100,82,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,2,13,19,4,23,0,2,3,0,5,8,0,0,7,0,5,2,0,2,1,1,0,11,13,1,0,16,0,2,20,1,0,0,1,12,2,0,4,34,0,1,3,12,0,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,19,0,0,4,0,0,0,0,0,0,1,0
Zotu2652,46736,80,97.55052500000001,97.768,96.354,98.122,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,4,16,16,3,27,0,2,0,0,0,4,0,0,5,0,4,0,1,1,2,4,0,12,4,2,0,18,0,1,19,9,0,0,1,14,1,0,2,38,0,0,6,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0
Zotu2653,40674,1000,97.52513,97.521,97.521,97.934,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,1,7,6,0,0,0,3,0,0,1,0,0,0,0,6,0,1,4,2,10,0,15,6,3,1,0,1,12,0,5,0,0,0,0,16,1,4,0,14,0,2,1,3,2,0,5,0,0,0,0,0,19,6,0,0,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,71,3
Zotu2654,40674,1000,98.760828,98.76,98.76,99.174,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,10,3,0,0,1,5,0,0,3,1,3,0,4,2,1,0,5,1,9,0,34,3,4,0,0,1,12,0,0,0,0,0,0,24,0,1,0,11,0,1,1,1,2,1,1,0,1,0,0,1,19,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,1
Zotu2655,40674,1000,98.347,98.347,98.347,98.347,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,1,7,1,0,0,1,11,2,0,1,0,6,0,0,2,0,0,4,0,8,0,26,5,2,0,0,0,7,0,1,0,0,1,0,16,0,3,0,14,1,1,1,5,1,2,4,0,1,0,0,1,16,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,79,1
